Scrip Code,Scrip Name,LTP,52 Weeks Low,Previous 52 Weeks Low,Previous 52 Weeks Low Date,All Time Low Price,All Time Low Date,Group
513119,ABCGAS,22.05,22.05,22.35,04 May 2018,0.45,17 Mar 1999,XT
517356,ACIIN,1.17,1.17,1.19,26 Jul 2018,1.09,03 Oct 2003,XT
532975,AISHWARYA,3.08,3.07,3.21,26 Jul 2018,2.72,30 Jan 2014,X
530499,AKCAPIT,360.00,340.00,342.50,25 Jul 2018,6.25,19 Sep 1996,X
526707,ALCHEM,5.21,5.21,5.40,25 Jul 2018,1.25,22 Apr 1998,T
532870,ANKITMETAL,1.14,1.14,1.20,02 Apr 2018,1.14,27 Jul 2018,T
517096,APLAB,17.25,15.65,15.75,16 Jul 2018,1.90,22 Jan 1999,XT
530187,ATHARVENT,2.48,2.48,2.53,25 Jul 2018,0.68,10 Apr 2018,XT
508933,AYMSYNTEX,44.20,43.55,44.90,19 Jul 2018,2.25,17 Mar 2003,B
503722,BANSWRAS,86.00,82.00,83.00,05 Jun 2018,1.00,26 Jul 1999,B
541178,BENARA,56.00,45.90,47.25,26 Jul 2018,45.90,27 Jul 2018,M
526225,BLOOM,34.95,29.30,29.60,25 Jul 2018,1.55,06 Dec 1996,X
538858,CAMSONBIO,7.00,6.58,6.89,26 Jul 2018,6.58,27 Jul 2018,X
531158,CATVISION,25.05,23.80,25.05,26 Jul 2018,1.00,27 Jan 1999,XT
539131,CLLIMITED,16.45,15.65,16.45,26 Jul 2018,15.65,27 Jul 2018,X
539266,CONCRETE,8.65,8.65,8.82,26 Jul 2018,8.65,27 Jul 2018,X
504340,CONFINT,1.94,1.94,1.97,26 Jul 2018,0.53,11 Dec 2017,XT
519588,DFM,1098.00,1078.45,1080.00,26 Jul 2018,2.00,13 May 1999,B
530801,DIAMOND,0.80,0.80,0.84,26 Jul 2018,0.80,27 Jul 2018,XT
540789,DNAMEDIA,7.00,6.32,6.51,20 Jul 2018,6.32,27 Jul 2018,B
534927,EBFL,14.15,14.15,14.40,26 Jul 2018,14.15,27 Jul 2018,M
531502,ESARIND,1.33,1.33,1.35,24 Jul 2018,0.49,26 Oct 2017,X
532823,EUROCERA,2.12,2.10,2.20,26 Jul 2018,2.10,27 Jul 2018,T
530885,FIVECORE,1.06,1.06,1.11,25 Jul 2018,0.48,06 Oct 2016,X
540935,GALAXYSURF,1173.00,1121.00,1151.00,23 Jul 2018,1121.00,27 Jul 2018,B
514400,GARWSYN,6.05,6.05,6.35,26 Jul 2018,0.10,28 Jan 1998,X
541546,GAYAHWS,3.61,3.61,3.80,26 Jul 2018,3.61,27 Jul 2018,T
532183,GAYATRI,5.14,5.14,5.24,26 Jul 2018,1.14,27 Mar 2014,X
538787,GBFL,8.28,8.28,8.44,26 Jul 2018,8.28,27 Jul 2018,X
531463,GBLINFRA,25.75,25.75,26.25,26 Jul 2018,4.25,02 Apr 1996,B
532318,GEMINI,0.47,0.47,0.49,26 Jul 2018,0.47,27 Jul 2018,T
530263,GLOBALCA,2.66,2.66,2.80,26 Jul 2018,0.80,30 Sep 1997,X
523676,GOLKUNDIA,11.05,11.00,11.15,26 Jul 2018,1.45,19 Feb 2003,XT
531737,GREENCREST,18.10,18.10,18.45,24 Jul 2018,6.77,24 Jan 2012,B
511441,GUJCRED,13.50,13.50,13.97,27 Jun 2018,1.05,07 Apr 1998,XT
531410,GUJFOIL,3.57,3.57,3.75,26 Jul 2018,0.25,02 Jun 1997,XT
512604,HARIAEXPO,1.02,1.02,1.04,25 Jul 2018,0.69,06 Dec 2013,XT
524080,HARLETH,29.95,29.95,31.05,16 Jul 2018,1.00,02 Jul 1998,XT
531322,HAVISHA,0.67,0.67,0.70,20 Jul 2018,0.67,27 Jul 2018,T
508956,HBLEAS,1.25,1.25,1.27,09 Nov 2017,0.45,04 Nov 2003,XT
500191,HMT,22.35,22.10,22.15,23 Jul 2018,3.35,03 Aug 1998,Z
532614,IMPEXFERRO,0.77,0.77,0.78,17 Jul 2018,0.77,27 Jul 2018,T
531129,INANI,12.26,12.26,12.31,26 Jul 2018,4.30,07 Jan 2003,X
531343,INDINFRA,5.00,5.00,5.24,23 Jul 2018,0.35,11 Jun 1997,X
532706,INOXLEISUR,196.15,194.30,195.10,26 Jul 2018,18.95,16 Mar 2009,A
530259,INTSTOIL,12.40,12.40,12.75,25 Jul 2018,1.61,19 Nov 2004,X
538422,JACKSON,0.79,0.79,0.80,26 Jul 2018,0.79,27 Jul 2018,X
511618,JIKIND,0.35,0.35,0.36,13 Jul 2018,0.35,27 Jul 2018,T
533207,JPINFRATEC,4.53,4.16,4.37,26 Jul 2018,4.16,27 Jul 2018,T
538837,JSTL,30.45,28.15,28.20,25 Jul 2018,12.15,24 Mar 2015,X
539679,KAPILRAJ,6.52,6.52,6.53,26 Jul 2018,6.52,27 Jul 2018,X
502933,KATRSPG,11.58,11.58,12.18,26 Jul 2018,2.95,18 Aug 1999,XT
504392,KRISHNA,15.90,15.90,16.20,26 Jul 2018,2.14,13 Aug 2010,XT
531882,KWALITY,11.95,10.95,11.40,26 Jul 2018,0.95,18 Sep 2001,A
524202,LACTOSE,48.50,48.00,48.45,26 Jul 2018,0.25,12 Aug 1998,XT
511367,MEGLON,5.73,5.73,6.03,25 Jul 2018,1.95,12 Dec 2012,XT
538834,MEL,8.50,8.50,8.89,25 Jul 2018,8.50,27 Jul 2018,XT
532990,METKORE,1.58,1.51,1.52,26 Jul 2018,1.51,27 Jul 2018,B
540023,MIENT,11.03,11.03,11.24,26 Jul 2018,11.03,27 Jul 2018,XT
538743,MUDUNURU,7.45,7.45,7.57,26 Apr 2018,7.45,27 Jul 2018,XT
535204,MUKTA,30.15,30.15,30.75,25 Jul 2018,6.00,07 Jul 2015,X
532991,MVL,0.29,0.29,0.30,26 Jul 2018,0.17,18 Jun 2015,T
506734,MYSORPETRO,88.00,83.55,84.00,23 Jul 2018,1.15,28 Mar 2002,X
508989,NAVNETEDUL,110.95,108.60,109.60,26 Jul 2018,20.00,19 Feb 1992,B
511658,NETTLINX,45.00,44.15,44.75,24 Jul 2018,2.95,20 Oct 2003,X
507813,NOL,18.25,18.25,19.00,19 Jul 2018,1.50,26 Dec 2003,XT
524414,NORRIS,9.27,9.27,9.45,26 Jul 2018,0.60,07 Jul 1998,XT
519491,OCEAGRO,18.35,16.75,17.50,25 Jul 2018,3.00,27 Mar 2001,XT
534190,OLPCL,5.41,5.41,5.42,25 Jul 2018,5.41,27 Jul 2018,X
